"project","linenumber","path","revision","issuecode","fixrevision"
"deltaspike","65","deltaspike/core/api/src/main/java/org/apache/deltaspike/core/api/config/ConfigResolver.java","fb0131106481f0b9a8fdc13b9879a5482219c736","DELTASPIKE-95","1e2dd6712241cdfad81786f10015cf2a7b96d723"
"deltaspike","74","deltaspike/core/api/src/main/java/org/apache/deltaspike/core/api/config/ConfigResolver.java","fb0131106481f0b9a8fdc13b9879a5482219c736","DELTASPIKE-95","1e2dd6712241cdfad81786f10015cf2a7b96d723"
"deltaspike","84","deltaspike/core/api/src/main/java/org/apache/deltaspike/core/api/config/ConfigResolver.java","fb0131106481f0b9a8fdc13b9879a5482219c736","DELTASPIKE-95","1e2dd6712241cdfad81786f10015cf2a7b96d723"
"deltaspike","110","deltaspike/core/api/src/main/java/org/apache/deltaspike/core/api/config/ConfigResolver.java","fb0131106481f0b9a8fdc13b9879a5482219c736","DELTASPIKE-95","1e2dd6712241cdfad81786f10015cf2a7b96d723"
"deltaspike","114","deltaspike/core/api/src/main/java/org/apache/deltaspike/core/api/config/ConfigResolver.java","fb0131106481f0b9a8fdc13b9879a5482219c736","DELTASPIKE-95","1e2dd6712241cdfad81786f10015cf2a7b96d723"
"deltaspike","160","deltaspike/core/api/src/main/java/org/apache/deltaspike/core/api/config/ConfigResolver.java","6e8d7e2d2ddd77d460d8c615727fa07e0ed52f41","DELTASPIKE-95","1e2dd6712241cdfad81786f10015cf2a7b96d723"
"deltaspike","45","deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/OpenWebBeansContextControl.java","fd790135ab6efdf20f8f323a19e7a0672ae8ef29","DELTASPIKE-136","6f5ff204280572d80eaaa7c1d5ecf9542408d921"
"deltaspike","46","deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/OpenWebBeansContextControl.java","fd790135ab6efdf20f8f323a19e7a0672ae8ef29","DELTASPIKE-136","6f5ff204280572d80eaaa7c1d5ecf9542408d921"
"deltaspike","54","deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/OpenWebBeansContextControl.java","fd790135ab6efdf20f8f323a19e7a0672ae8ef29","DELTASPIKE-136","6f5ff204280572d80eaaa7c1d5ecf9542408d921"
"deltaspike","55","deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/OpenWebBeansContextControl.java","fd790135ab6efdf20f8f323a19e7a0672ae8ef29","DELTASPIKE-136","6f5ff204280572d80eaaa7c1d5ecf9542408d921"
"deltaspike","56","deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/OpenWebBeansContextControl.java","fd790135ab6efdf20f8f323a19e7a0672ae8ef29","DELTASPIKE-136","6f5ff204280572d80eaaa7c1d5ecf9542408d921"
"deltaspike","123","deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/OpenWebBeansContextControl.java","fd790135ab6efdf20f8f323a19e7a0672ae8ef29","DELTASPIKE-136","6f5ff204280572d80eaaa7c1d5ecf9542408d921"
"deltaspike","130","deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/OpenWebBeansContextControl.java","fd790135ab6efdf20f8f323a19e7a0672ae8ef29","DELTASPIKE-136","6f5ff204280572d80eaaa7c1d5ecf9542408d921"
"deltaspike","158","deltaspike/cdictrl/impl-owb/src/main/java/org/apache/deltaspike/cdise/owb/OpenWebBeansContextControl.java","fd790135ab6efdf20f8f323a19e7a0672ae8ef29","DELTASPIKE-136","6f5ff204280572d80eaaa7c1d5ecf9542408d921"
