"project","linenumber","path","revision","issuecode","fixrevision"
"ignite","455","modules/core/src/main/java/org/gridgain/grid/util/typedef/X.java","f56bb98e6d4f87f6bcd542e068297fb4760efdcf","IGNITE-70","878a2890a2bb80d05cbb0ec42b82ac27f166a0d8"
"ignite","107","modules/core/src/main/java/org/apache/ignite/internal/MarshallerContextImpl.java","82ea2cf8f9897cd92f6e77a8d9efe08d1a8c0bd6","IGNITE-1047","a58a16a951da4095b0fac0191fc009264a5bc858"
"ignite","587","modules/core/java/org/gridgain/grid/kernal/GridGainEx.java","d1851ec2b4deacedec35fd457bcee65c8a088a99","IGNITE-118","754da7a19b8d645c6497b2cdfee320cb922990fc"
"ignite","388","modules/core/java/org/gridgain/grid/kernal/GridGainEx.java","d1851ec2b4deacedec35fd457bcee65c8a088a99","IGNITE-118","754da7a19b8d645c6497b2cdfee320cb922990fc"
"ignite","590","modules/core/java/org/gridgain/grid/kernal/GridGainEx.java","d1851ec2b4deacedec35fd457bcee65c8a088a99","IGNITE-118","754da7a19b8d645c6497b2cdfee320cb922990fc"
"ignite","592","modules/core/java/org/gridgain/grid/kernal/GridGainEx.java","d1851ec2b4deacedec35fd457bcee65c8a088a99","IGNITE-118","754da7a19b8d645c6497b2cdfee320cb922990fc"
"ignite","577","modules/core/src/main/java/org/apache/ignite/internal/IgnitionEx.java","5aef92b17e1a43d3eb2561f2192a0ffdb064476b","IGNITE-118","754da7a19b8d645c6497b2cdfee320cb922990fc"
"ignite","582","modules/core/src/main/java/org/apache/ignite/internal/IgnitionEx.java","c6ca063f7f6549348b185341cf55495be0b40d3d","IGNITE-118","754da7a19b8d645c6497b2cdfee320cb922990fc"
"ignite","601","modules/core/java/org/gridgain/grid/kernal/GridGainEx.java","d1851ec2b4deacedec35fd457bcee65c8a088a99","IGNITE-118","754da7a19b8d645c6497b2cdfee320cb922990fc"
"ignite","1466","modules/core/src/main/java/org/apache/ignite/internal/processors/cache/GridCacheProcessor.java","1968e4f59eea6265aaf82a3fa515eecc99a91310","IGNITE-5287","427ca6900209421db7693df1dbf7e15fc872c0cd"
"ignite","68","modules/core/src/main/java/org/apache/ignite/mxbean/ClusterMetricsMXBean.java","0295518bac9f9431351f8f7e7b9d2148ee70417d","IGNITE-686","010d02b89fd440cfa6fbe5f24dd5258e440c467a"
"ignite","68","modules/core/src/main/java/org/apache/ignite/mxbean/ClusterMetricsMXBean.java","0295518bac9f9431351f8f7e7b9d2148ee70417d","IGNITE-68","010d02b89fd440cfa6fbe5f24dd5258e440c467a"
"ignite","69","modules/core/src/main/java/org/apache/ignite/mxbean/ClusterMetricsMXBean.java","0295518bac9f9431351f8f7e7b9d2148ee70417d","IGNITE-686","010d02b89fd440cfa6fbe5f24dd5258e440c467a"
"ignite","802","modules/core/src/main/java/org/apache/ignite/internal/processors/query/QueryUtils.java","1968e4f59eea6265aaf82a3fa515eecc99a91310","IGNITE-5287","427ca6900209421db7693df1dbf7e15fc872c0cd"
"ignite","172","modules/core/src/main/java/org/apache/ignite/internal/processors/query/GridQueryIndexing.java","cbf0b2a5873395b127e05b411136f2d30f449573","IGNITE-5287","427ca6900209421db7693df1dbf7e15fc872c0cd"
