"project","linenumber","path","revision","issuecode","fixrevision"
"jclouds","48","apis/chef/src/main/java/org/jclouds/chef/domain/Metadata.java","f02607fc0b0cca58e8b63c5fd5d865008c0caf65","JCLOUDS-254","72122753f488d5c00ccfd60577885d87ae4c54a7"
"jclouds","45","common/googlecloud/src/main/java/org/jclouds/googlecloud/config/CurrentProject.java","43423484040d36ca21d78e19ec0b06d1e076db7d","JCLOUDS-1043","ab3a6f003bc660b87958a63cd4f0138c5248bf3b"
"jclouds","46","common/googlecloud/src/main/java/org/jclouds/googlecloud/config/CurrentProject.java","43423484040d36ca21d78e19ec0b06d1e076db7d","JCLOUDS-1043","ab3a6f003bc660b87958a63cd4f0138c5248bf3b"
"jclouds","48","apis/chef/src/main/java/org/jclouds/chef/domain/Metadata.java","f02607fc0b0cca58e8b63c5fd5d865008c0caf65","JCLOUDS-245","72122753f488d5c00ccfd60577885d87ae4c54a7"
"jclouds","48","apis/chef/src/main/java/org/jclouds/chef/domain/Metadata.java","f02607fc0b0cca58e8b63c5fd5d865008c0caf65","JCLOUDS-24","72122753f488d5c00ccfd60577885d87ae4c54a7"
"jclouds","45","apis/chef/src/main/java/org/jclouds/chef/domain/UploadSandbox.java","f02607fc0b0cca58e8b63c5fd5d865008c0caf65","JCLOUDS-254","72122753f488d5c00ccfd60577885d87ae4c54a7"
"jclouds","139","apis/chef/src/main/java/org/jclouds/chef/domain/Node.java","f02607fc0b0cca58e8b63c5fd5d865008c0caf65","JCLOUDS-254","72122753f488d5c00ccfd60577885d87ae4c54a7"
"jclouds","139","apis/chef/src/main/java/org/jclouds/chef/domain/Node.java","f02607fc0b0cca58e8b63c5fd5d865008c0caf65","JCLOUDS-245","72122753f488d5c00ccfd60577885d87ae4c54a7"
"jclouds","139","apis/chef/src/main/java/org/jclouds/chef/domain/Node.java","f02607fc0b0cca58e8b63c5fd5d865008c0caf65","JCLOUDS-24","72122753f488d5c00ccfd60577885d87ae4c54a7"
"jclouds","140","apis/chef/src/main/java/org/jclouds/chef/domain/Node.java","f02607fc0b0cca58e8b63c5fd5d865008c0caf65","JCLOUDS-254","72122753f488d5c00ccfd60577885d87ae4c54a7"
"jclouds","140","apis/chef/src/main/java/org/jclouds/chef/domain/Node.java","f02607fc0b0cca58e8b63c5fd5d865008c0caf65","JCLOUDS-245","72122753f488d5c00ccfd60577885d87ae4c54a7"
"jclouds","140","apis/chef/src/main/java/org/jclouds/chef/domain/Node.java","f02607fc0b0cca58e8b63c5fd5d865008c0caf65","JCLOUDS-24","72122753f488d5c00ccfd60577885d87ae4c54a7"
"jclouds","64","apis/chef/src/main/java/org/jclouds/chef/domain/Role.java","f02607fc0b0cca58e8b63c5fd5d865008c0caf65","JCLOUDS-254","72122753f488d5c00ccfd60577885d87ae4c54a7"
"jclouds","64","apis/chef/src/main/java/org/jclouds/chef/domain/Role.java","f02607fc0b0cca58e8b63c5fd5d865008c0caf65","JCLOUDS-245","72122753f488d5c00ccfd60577885d87ae4c54a7"
"jclouds","64","apis/chef/src/main/java/org/jclouds/chef/domain/Role.java","f02607fc0b0cca58e8b63c5fd5d865008c0caf65","JCLOUDS-24","72122753f488d5c00ccfd60577885d87ae4c54a7"
"jclouds","45","apis/chef/src/main/java/org/jclouds/chef/domain/UploadSandbox.java","f02607fc0b0cca58e8b63c5fd5d865008c0caf65","JCLOUDS-245","72122753f488d5c00ccfd60577885d87ae4c54a7"
"jclouds","74","apis/ec2/src/main/java/org/jclouds/ec2/EC2ApiMetadata.java","9745e9dc2fa8bd44b7cde3faa4655892cba3771e","JCLOUDS-303","7290cc8ea60dc7ff8d7435e93a5030dd320d4ba2"
"jclouds","45","apis/chef/src/main/java/org/jclouds/chef/domain/UploadSandbox.java","f02607fc0b0cca58e8b63c5fd5d865008c0caf65","JCLOUDS-24","72122753f488d5c00ccfd60577885d87ae4c54a7"
"jclouds","220","core/src/main/java/org/jclouds/json/internal/NamingStrategies.java","21802d467aca3dcce8478ae7cdde58080452015a","JCLOUDS-75","0b88dadb8f1ae9ca893465e81dc89707eae35bec"
"jclouds","101","apis/oauth/src/main/java/org/jclouds/oauth/v2/domain/ClaimSet.java","4da1ba8ff5c3acecf61704b37003114427993da3","JCLOUDS-75","07d7a5a749ddc1e248d24ae544e1a1258a677ba6"
"jclouds","85","core/src/main/java/org/jclouds/reflect/Reflection2.java","a625127fd2cf05c5c33c03d1649be558f76cbc2d","JCLOUDS-75","671749d6b72340493244f4136dec2ba6ed57ddf4"
"jclouds","63","apis/docker/src/main/java/org/jclouds/docker/domain/Config.java","779551c40fc17c6ee39eba5c2a476d450dae1f8d","JCLOUDS-75","7bdff3f9caaa40180bf4374a821a49c2d94a5fcd"
