"project","linenumber","path","revision","issuecode","fixrevision"
"massembly","399","src/main/java/org/apache/maven/plugin/assembly/AbstractAssemblyMojo.java","098e66dc4f3e8cb1f41a2b812e17898347fa8b8d","MASSEMBLY-1","5561fbf79661c972031d33c5db6baefaed1b80a8"
"massembly","399","src/main/java/org/apache/maven/plugin/assembly/AbstractAssemblyMojo.java","098e66dc4f3e8cb1f41a2b812e17898347fa8b8d","MASSEMBLY-8","5561fbf79661c972031d33c5db6baefaed1b80a8"
"massembly","399","src/main/java/org/apache/maven/plugin/assembly/AbstractAssemblyMojo.java","098e66dc4f3e8cb1f41a2b812e17898347fa8b8d","MASSEMBLY-14","5561fbf79661c972031d33c5db6baefaed1b80a8"
"massembly","404","src/main/java/org/apache/maven/plugin/assembly/AbstractAssemblyMojo.java","098e66dc4f3e8cb1f41a2b812e17898347fa8b8d","MASSEMBLY-1","5561fbf79661c972031d33c5db6baefaed1b80a8"
"massembly","404","src/main/java/org/apache/maven/plugin/assembly/AbstractAssemblyMojo.java","098e66dc4f3e8cb1f41a2b812e17898347fa8b8d","MASSEMBLY-8","5561fbf79661c972031d33c5db6baefaed1b80a8"
"massembly","404","src/main/java/org/apache/maven/plugin/assembly/AbstractAssemblyMojo.java","098e66dc4f3e8cb1f41a2b812e17898347fa8b8d","MASSEMBLY-14","5561fbf79661c972031d33c5db6baefaed1b80a8"
"massembly","603","src/main/java/org/apache/maven/plugin/assembly/AbstractAssemblyMojo.java","3d3ea36b91af4d382e4029a599118675258912ff","MASSEMBLY-1","5561fbf79661c972031d33c5db6baefaed1b80a8"
"massembly","603","src/main/java/org/apache/maven/plugin/assembly/AbstractAssemblyMojo.java","3d3ea36b91af4d382e4029a599118675258912ff","MASSEMBLY-8","5561fbf79661c972031d33c5db6baefaed1b80a8"
"massembly","603","src/main/java/org/apache/maven/plugin/assembly/AbstractAssemblyMojo.java","3d3ea36b91af4d382e4029a599118675258912ff","MASSEMBLY-14","5561fbf79661c972031d33c5db6baefaed1b80a8"
"massembly","601","src/main/java/org/apache/maven/plugin/assembly/AbstractAssemblyMojo.java","e4ce305f5a8a9091d51469aa8c6034bc3bd8e331","MASSEMBLY-1","5561fbf79661c972031d33c5db6baefaed1b80a8"
