"project","linenumber","path","revision","issuecode","fixrevision"
"net","241","src/java/org/apache/commons/net/ftp/FTP.java","db75b58a7e2f8335af25dee367dfea1ba8e7dae2","NET-36","eb945ea4b8810c4a32f622b1bea7781079a3ab37"
"net","54","src/java/org/apache/commons/net/ftp/FTPSClient.java","c9fddd1dd0bc1db812dcc723528c664104ffd4d3","NET-28","2f6cce0a9de948b6b59c0dab22ee4b58c809fe6c"
"net","54","src/java/org/apache/commons/net/ftp/FTPSClient.java","c9fddd1dd0bc1db812dcc723528c664104ffd4d3","NET-2","2f6cce0a9de948b6b59c0dab22ee4b58c809fe6c"
"net","248","src/java/org/apache/commons/net/ftp/FTP.java","db75b58a7e2f8335af25dee367dfea1ba8e7dae2","NET-36","eb945ea4b8810c4a32f622b1bea7781079a3ab37"
"net","248","src/java/org/apache/commons/net/ftp/FTP.java","db75b58a7e2f8335af25dee367dfea1ba8e7dae2","NET-3","eb945ea4b8810c4a32f622b1bea7781079a3ab37"
"net","228","src/java/org/apache/commons/net/ftp/FTP.java","ffc4d0aecc2e487be46162b4a6a0780413fc072e","NET-36","eb945ea4b8810c4a32f622b1bea7781079a3ab37"
"net","228","src/java/org/apache/commons/net/ftp/FTP.java","ffc4d0aecc2e487be46162b4a6a0780413fc072e","NET-3","eb945ea4b8810c4a32f622b1bea7781079a3ab37"
"net","849","src/java/org/apache/commons/net/telnet/Telnet.java","013eb18a3136bd05095713e14285359e355680f6","NET-1","46c188e2a222fe567926cd5c9291855238622ee5"
"net","849","src/java/org/apache/commons/net/telnet/Telnet.java","013eb18a3136bd05095713e14285359e355680f6","NET-19","46c188e2a222fe567926cd5c9291855238622ee5"
"net","849","src/java/org/apache/commons/net/telnet/Telnet.java","013eb18a3136bd05095713e14285359e355680f6","NET-194","46c188e2a222fe567926cd5c9291855238622ee5"
"net","1310","src/java/org/apache/commons/net/telnet/Telnet.java","013eb18a3136bd05095713e14285359e355680f6","NET-1","46c188e2a222fe567926cd5c9291855238622ee5"
"net","1310","src/java/org/apache/commons/net/telnet/Telnet.java","013eb18a3136bd05095713e14285359e355680f6","NET-19","46c188e2a222fe567926cd5c9291855238622ee5"
"net","1310","src/java/org/apache/commons/net/telnet/Telnet.java","013eb18a3136bd05095713e14285359e355680f6","NET-194","46c188e2a222fe567926cd5c9291855238622ee5"
"net","1313","src/java/org/apache/commons/net/telnet/Telnet.java","013eb18a3136bd05095713e14285359e355680f6","NET-1","46c188e2a222fe567926cd5c9291855238622ee5"
"net","1313","src/java/org/apache/commons/net/telnet/Telnet.java","013eb18a3136bd05095713e14285359e355680f6","NET-19","46c188e2a222fe567926cd5c9291855238622ee5"
"net","1313","src/java/org/apache/commons/net/telnet/Telnet.java","013eb18a3136bd05095713e14285359e355680f6","NET-194","46c188e2a222fe567926cd5c9291855238622ee5"
"net","482","src/java/org/apache/commons/net/nntp/Threader.java","4ee460a9622c555fbd283a8587168ca9462a045f","NET-25","e55d11446fa3a268a5653aa82d51fec2cf4cfbfc"
"net","482","src/java/org/apache/commons/net/nntp/Threader.java","4ee460a9622c555fbd283a8587168ca9462a045f","NET-2","e55d11446fa3a268a5653aa82d51fec2cf4cfbfc"
"net","574","src/java/org/apache/commons/net/ftp/FTP.java","8d0cc833379b11cd2124da35d649bbc76da6b9eb","NET-25","ad1a51f03abbe85c6648c1b94d9ca440cb1d6966"
"net","574","src/java/org/apache/commons/net/ftp/FTP.java","8d0cc833379b11cd2124da35d649bbc76da6b9eb","NET-2","ad1a51f03abbe85c6648c1b94d9ca440cb1d6966"
"net","574","src/java/org/apache/commons/net/ftp/FTP.java","8d0cc833379b11cd2124da35d649bbc76da6b9eb","NET-257","ad1a51f03abbe85c6648c1b94d9ca440cb1d6966"
"net","458","src/java/org/apache/commons/net/smtp/SMTP.java","8d0cc833379b11cd2124da35d649bbc76da6b9eb","NET-27","5eaac875d5c9e4100ed92c72c7176c524ecdf01f"
"net","458","src/java/org/apache/commons/net/smtp/SMTP.java","8d0cc833379b11cd2124da35d649bbc76da6b9eb","NET-2","5eaac875d5c9e4100ed92c72c7176c524ecdf01f"
"net","458","src/java/org/apache/commons/net/smtp/SMTP.java","8d0cc833379b11cd2124da35d649bbc76da6b9eb","NET-279","5eaac875d5c9e4100ed92c72c7176c524ecdf01f"
"net","259","src/java/org/apache/commons/net/ftp/FTPClient.java","8d0cc833379b11cd2124da35d649bbc76da6b9eb","NET-28","a51964468f055a6337876fa810bfc8ae007020f0"
"net","259","src/java/org/apache/commons/net/ftp/FTPClient.java","8d0cc833379b11cd2124da35d649bbc76da6b9eb","NET-2","a51964468f055a6337876fa810bfc8ae007020f0"
"net","250","src/java/org/apache/commons/net/ftp/FTPClient.java","db75b58a7e2f8335af25dee367dfea1ba8e7dae2","NET-28","a51964468f055a6337876fa810bfc8ae007020f0"
"net","250","src/java/org/apache/commons/net/ftp/FTPClient.java","db75b58a7e2f8335af25dee367dfea1ba8e7dae2","NET-2","a51964468f055a6337876fa810bfc8ae007020f0"
"net","578","src/main/java/org/apache/commons/net/ftp/FTPClient.java","1bc6c41d13349f1d21125a3e36bc04f2b19f0532","NET-28","a51964468f055a6337876fa810bfc8ae007020f0"
"net","578","src/main/java/org/apache/commons/net/ftp/FTPClient.java","1bc6c41d13349f1d21125a3e36bc04f2b19f0532","NET-2","a51964468f055a6337876fa810bfc8ae007020f0"
"net","690","src/java/org/apache/commons/net/ftp/FTPClient.java","8d0cc833379b11cd2124da35d649bbc76da6b9eb","NET-28","a51964468f055a6337876fa810bfc8ae007020f0"
"net","690","src/java/org/apache/commons/net/ftp/FTPClient.java","8d0cc833379b11cd2124da35d649bbc76da6b9eb","NET-2","a51964468f055a6337876fa810bfc8ae007020f0"
"net","693","src/java/org/apache/commons/net/ftp/FTPClient.java","8d0cc833379b11cd2124da35d649bbc76da6b9eb","NET-28","a51964468f055a6337876fa810bfc8ae007020f0"
"net","693","src/java/org/apache/commons/net/ftp/FTPClient.java","8d0cc833379b11cd2124da35d649bbc76da6b9eb","NET-2","a51964468f055a6337876fa810bfc8ae007020f0"
"net","45","src/java/examples/nntp/newsgroups.java","70e5a394a539ffca893abfb18a38238d8874df67","NET-23","7bba666b88d80afbc2d63ca28a13f9dee4b6539f"
"net","45","src/java/examples/nntp/newsgroups.java","70e5a394a539ffca893abfb18a38238d8874df67","NET-2","7bba666b88d80afbc2d63ca28a13f9dee4b6539f"
"net","247","src/java/org/apache/commons/net/io/Util.java","2244e7aca592f9914388264b2814a30d07c8d851","NET-55","506d027199a615962ad5df482f077792841a01c1"
"net","247","src/java/org/apache/commons/net/io/Util.java","2244e7aca592f9914388264b2814a30d07c8d851","NET-551","506d027199a615962ad5df482f077792841a01c1"
"net","247","src/java/org/apache/commons/net/io/Util.java","2244e7aca592f9914388264b2814a30d07c8d851","NET-5","506d027199a615962ad5df482f077792841a01c1"
"net","144","src/java/org/apache/commons/net/ftp/FTPFile.java","db75b58a7e2f8335af25dee367dfea1ba8e7dae2","NET-39","151f6ae9c59249525fdb225b8cbf269c3f8a5bfb"
"net","144","src/java/org/apache/commons/net/ftp/FTPFile.java","db75b58a7e2f8335af25dee367dfea1ba8e7dae2","NET-3","151f6ae9c59249525fdb225b8cbf269c3f8a5bfb"
"net","241","src/java/org/apache/commons/net/ftp/FTP.java","db75b58a7e2f8335af25dee367dfea1ba8e7dae2","NET-3","eb945ea4b8810c4a32f622b1bea7781079a3ab37"
"net","245","src/java/org/apache/commons/net/ftp/FTP.java","db75b58a7e2f8335af25dee367dfea1ba8e7dae2","NET-36","eb945ea4b8810c4a32f622b1bea7781079a3ab37"
"net","245","src/java/org/apache/commons/net/ftp/FTP.java","db75b58a7e2f8335af25dee367dfea1ba8e7dae2","NET-3","eb945ea4b8810c4a32f622b1bea7781079a3ab37"
"net","246","src/java/org/apache/commons/net/ftp/FTP.java","db75b58a7e2f8335af25dee367dfea1ba8e7dae2","NET-36","eb945ea4b8810c4a32f622b1bea7781079a3ab37"
"net","246","src/java/org/apache/commons/net/ftp/FTP.java","db75b58a7e2f8335af25dee367dfea1ba8e7dae2","NET-3","eb945ea4b8810c4a32f622b1bea7781079a3ab37"
"net","247","src/java/org/apache/commons/net/ftp/FTP.java","db75b58a7e2f8335af25dee367dfea1ba8e7dae2","NET-36","eb945ea4b8810c4a32f622b1bea7781079a3ab37"
"net","247","src/java/org/apache/commons/net/ftp/FTP.java","db75b58a7e2f8335af25dee367dfea1ba8e7dae2","NET-3","eb945ea4b8810c4a32f622b1bea7781079a3ab37"
"net","41","src/java/org/apache/commons/net/ftp/FTPSSocketFactory.java","c9fddd1dd0bc1db812dcc723528c664104ffd4d3","NET-28","2f6cce0a9de948b6b59c0dab22ee4b58c809fe6c"
"net","41","src/java/org/apache/commons/net/ftp/FTPSSocketFactory.java","c9fddd1dd0bc1db812dcc723528c664104ffd4d3","NET-2","2f6cce0a9de948b6b59c0dab22ee4b58c809fe6c"
"net","126","src/java/org/apache/commons/net/ftp/FTP.java","db75b58a7e2f8335af25dee367dfea1ba8e7dae2","NET-36","eb945ea4b8810c4a32f622b1bea7781079a3ab37"
"net","79","src/main/java/examples/FTPSExample.java","4c0cbe1369d3246d53c2b27ec799a67664a982c6","NET-36","eb945ea4b8810c4a32f622b1bea7781079a3ab37"
"net","79","src/main/java/examples/FTPSExample.java","4c0cbe1369d3246d53c2b27ec799a67664a982c6","NET-3","eb945ea4b8810c4a32f622b1bea7781079a3ab37"
