"project","linenumber","path","revision","issuecode","fixrevision"
"proton","177","proton-j/engine/src/org/apache/qpid/proton/engine/impl/EndpointImpl.java","513df7d3ce04db5d8a65b1a35c3aeb709acfe533","PROTON-1","bb92fe41c14ca0bd5622d2c488e75d6b960cfb97"
"proton","179","proton-j/engine/src/org/apache/qpid/proton/engine/impl/EndpointImpl.java","513df7d3ce04db5d8a65b1a35c3aeb709acfe533","PROTON-1","bb92fe41c14ca0bd5622d2c488e75d6b960cfb97"
"proton","182","proton-j/engine/src/org/apache/qpid/proton/engine/impl/EndpointImpl.java","513df7d3ce04db5d8a65b1a35c3aeb709acfe533","PROTON-1","bb92fe41c14ca0bd5622d2c488e75d6b960cfb97"
"proton","234","proton-j/src/org/apache/qpid/proton/engine/impl/TransportImpl.java","9077de65c97db466266d44d76102f58662a6de4d","PROTON-37","2b18fbf904d19ee90f5f5e11d835a01c7f2e4251"
"proton","184","proton-j/engine/src/org/apache/qpid/proton/engine/impl/EndpointImpl.java","513df7d3ce04db5d8a65b1a35c3aeb709acfe533","PROTON-1","bb92fe41c14ca0bd5622d2c488e75d6b960cfb97"
"proton","126","proton-j/src/org/apache/qpid/proton/engine/impl/SenderImpl.java","9077de65c97db466266d44d76102f58662a6de4d","PROTON-37","2b18fbf904d19ee90f5f5e11d835a01c7f2e4251"
"proton","47","proton-j/codec/src/org/apache/qpid/proton/type/transport/Close.java","513df7d3ce04db5d8a65b1a35c3aeb709acfe533","PROTON-45","ba9aea54a49a847165adc5dab9d6c5b1118356ad"
"proton","146","proton-j/src/main/java/org/apache/qpid/proton/engine/impl/SaslImpl.java","3155545873bf77b45f23fe8b848db594e2eed2e3","PROTON-103","ecca9ed310c9d559ef578973d06684c82da7db1f"
"proton","146","proton-j/src/main/java/org/apache/qpid/proton/engine/impl/SaslImpl.java","3155545873bf77b45f23fe8b848db594e2eed2e3","PROTON-10","ecca9ed310c9d559ef578973d06684c82da7db1f"
"proton","146","proton-j/src/main/java/org/apache/qpid/proton/engine/impl/SaslImpl.java","3155545873bf77b45f23fe8b848db594e2eed2e3","PROTON-1","ecca9ed310c9d559ef578973d06684c82da7db1f"
"proton","62","proton-j/src/main/java/org/apache/qpid/proton/reactor/Reactor.java","e0187017456a4df58df2f1d04b1941d99eacbe10","PROTON-88","46b9d848999e993f238b37c9a0598035ccd64b27"
"proton","52","proton-j/src/main/java/org/apache/qpid/proton/engine/Event.java","5536afffa915407e7aa66b93a9802f15a518e4d6","PROTON-656","b25439fa71feba5414da6a34c8c1313dbf12d707"
"proton","52","proton-j/src/main/java/org/apache/qpid/proton/engine/Event.java","5536afffa915407e7aa66b93a9802f15a518e4d6","PROTON-6","b25439fa71feba5414da6a34c8c1313dbf12d707"
"proton","56","proton-j/proton/src/main/java/org/apache/qpid/proton/type/Binary.java","9fef2ee9d4a16087d7b3bd29d23cb92433d329aa","PROTON-6","c575aed29d96360ca2ae21090cb2dd2f3fa4e5b7"
"proton","56","proton-j/proton/src/main/java/org/apache/qpid/proton/type/Binary.java","9fef2ee9d4a16087d7b3bd29d23cb92433d329aa","PROTON-61","c575aed29d96360ca2ae21090cb2dd2f3fa4e5b7"
"proton","56","proton-j/proton/src/main/java/org/apache/qpid/proton/type/Binary.java","9fef2ee9d4a16087d7b3bd29d23cb92433d329aa","PROTON-618","c575aed29d96360ca2ae21090cb2dd2f3fa4e5b7"
"proton","58","proton-j/proton/src/main/java/org/apache/qpid/proton/type/Binary.java","9fef2ee9d4a16087d7b3bd29d23cb92433d329aa","PROTON-6","c575aed29d96360ca2ae21090cb2dd2f3fa4e5b7"
"proton","58","proton-j/proton/src/main/java/org/apache/qpid/proton/type/Binary.java","9fef2ee9d4a16087d7b3bd29d23cb92433d329aa","PROTON-61","c575aed29d96360ca2ae21090cb2dd2f3fa4e5b7"
"proton","58","proton-j/proton/src/main/java/org/apache/qpid/proton/type/Binary.java","9fef2ee9d4a16087d7b3bd29d23cb92433d329aa","PROTON-618","c575aed29d96360ca2ae21090cb2dd2f3fa4e5b7"
"proton","55","proton-j/proton/src/main/java/org/apache/qpid/proton/type/UnsignedByte.java","9fef2ee9d4a16087d7b3bd29d23cb92433d329aa","PROTON-6","c575aed29d96360ca2ae21090cb2dd2f3fa4e5b7"
"proton","55","proton-j/proton/src/main/java/org/apache/qpid/proton/type/UnsignedByte.java","9fef2ee9d4a16087d7b3bd29d23cb92433d329aa","PROTON-61","c575aed29d96360ca2ae21090cb2dd2f3fa4e5b7"
"proton","55","proton-j/proton/src/main/java/org/apache/qpid/proton/type/UnsignedByte.java","9fef2ee9d4a16087d7b3bd29d23cb92433d329aa","PROTON-618","c575aed29d96360ca2ae21090cb2dd2f3fa4e5b7"
"proton","51","proton-j/proton/src/main/java/org/apache/qpid/proton/type/UnsignedLong.java","9fef2ee9d4a16087d7b3bd29d23cb92433d329aa","PROTON-6","c575aed29d96360ca2ae21090cb2dd2f3fa4e5b7"
"proton","51","proton-j/proton/src/main/java/org/apache/qpid/proton/type/UnsignedLong.java","9fef2ee9d4a16087d7b3bd29d23cb92433d329aa","PROTON-61","c575aed29d96360ca2ae21090cb2dd2f3fa4e5b7"
"proton","51","proton-j/proton/src/main/java/org/apache/qpid/proton/type/UnsignedLong.java","9fef2ee9d4a16087d7b3bd29d23cb92433d329aa","PROTON-618","c575aed29d96360ca2ae21090cb2dd2f3fa4e5b7"
"proton","61","proton-j/src/main/java/org/apache/qpid/proton/reactor/Reactor.java","e0187017456a4df58df2f1d04b1941d99eacbe10","PROTON-88","46b9d848999e993f238b37c9a0598035ccd64b27"
"proton","61","proton-j/src/main/java/org/apache/qpid/proton/reactor/Reactor.java","e0187017456a4df58df2f1d04b1941d99eacbe10","PROTON-8","46b9d848999e993f238b37c9a0598035ccd64b27"
"proton","71","proton-j/proton/src/main/java/org/apache/qpid/proton/driver/impl/ListenerImpl.java","9fef2ee9d4a16087d7b3bd29d23cb92433d329aa","PROTON-11","b997657863fc6b8d2b47938d176fc3481244028f"
"proton","71","proton-j/proton/src/main/java/org/apache/qpid/proton/driver/impl/ListenerImpl.java","9fef2ee9d4a16087d7b3bd29d23cb92433d329aa","PROTON-1","b997657863fc6b8d2b47938d176fc3481244028f"
"proton","55","proton-j/src/main/java/org/apache/qpid/proton/engine/Event.java","5536afffa915407e7aa66b93a9802f15a518e4d6","PROTON-656","b25439fa71feba5414da6a34c8c1313dbf12d707"
"proton","55","proton-j/src/main/java/org/apache/qpid/proton/engine/Event.java","5536afffa915407e7aa66b93a9802f15a518e4d6","PROTON-6","b25439fa71feba5414da6a34c8c1313dbf12d707"
"proton","70","proton-j/proton/src/main/java/org/apache/qpid/proton/type/Binary.java","9fef2ee9d4a16087d7b3bd29d23cb92433d329aa","PROTON-698","3ad0ee8a89805c2d14147467cab005376c08418d"
