"project","linenumber","path","revision","issuecode","fixrevision"
"lang",1161,"src/main/java/org/apache/commons/lang3/time/FastDateFormat.java","fc5c081e22a61bb5a6810af302be3f22f7966df4","LANG-4","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c"
"lang",1164,"src/main/java/org/apache/commons/lang3/time/FastDateFormat.java","fc5c081e22a61bb5a6810af302be3f22f7966df4","LANG-4","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c"
"lang",1355,"src/main/java/org/apache/commons/lang3/time/FastDateFormat.java","fc5c081e22a61bb5a6810af302be3f22f7966df4","LANG-4","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c"
"lang",1409,"src/main/java/org/apache/commons/lang3/time/FastDateFormat.java","fc5c081e22a61bb5a6810af302be3f22f7966df4","LANG-4","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c"
"lang",1410,"src/main/java/org/apache/commons/lang3/time/FastDateFormat.java","fc5c081e22a61bb5a6810af302be3f22f7966df4","LANG-4","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c"
"lang",1596,"src/main/java/org/apache/commons/lang3/time/FastDateFormat.java","fc5c081e22a61bb5a6810af302be3f22f7966df4","LANG-4","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c"
"lang",377,"src/main/java/org/apache/commons/lang3/time/FastDateParser.java","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c","LANG-82","8c87749695449aaac6fbc667f4b48bfe10b7baae"
"lang",545,"src/main/java/org/apache/commons/lang3/time/FastDateParser.java","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c","LANG-82","8c87749695449aaac6fbc667f4b48bfe10b7baae"
"lang",306,"src/main/java/org/apache/commons/lang3/time/FastDateParser.java","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c","LANG-83","6ecb0a30c3f705ec33b6516194e32bbe29e6a1d7"
"lang",307,"src/main/java/org/apache/commons/lang3/time/FastDateParser.java","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c","LANG-83","6ecb0a30c3f705ec33b6516194e32bbe29e6a1d7"
"lang",308,"src/main/java/org/apache/commons/lang3/time/FastDateParser.java","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c","LANG-83","6ecb0a30c3f705ec33b6516194e32bbe29e6a1d7"
"lang",309,"src/main/java/org/apache/commons/lang3/time/FastDateParser.java","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c","LANG-83","6ecb0a30c3f705ec33b6516194e32bbe29e6a1d7"
"lang",311,"src/main/java/org/apache/commons/lang3/time/FastDateParser.java","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c","LANG-83","6ecb0a30c3f705ec33b6516194e32bbe29e6a1d7"
"lang",312,"src/main/java/org/apache/commons/lang3/time/FastDateParser.java","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c","LANG-83","6ecb0a30c3f705ec33b6516194e32bbe29e6a1d7"
"lang",313,"src/main/java/org/apache/commons/lang3/time/FastDateParser.java","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c","LANG-83","6ecb0a30c3f705ec33b6516194e32bbe29e6a1d7"
"lang",314,"src/main/java/org/apache/commons/lang3/time/FastDateParser.java","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c","LANG-83","6ecb0a30c3f705ec33b6516194e32bbe29e6a1d7"
"lang",315,"src/main/java/org/apache/commons/lang3/time/FastDateParser.java","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c","LANG-83","6ecb0a30c3f705ec33b6516194e32bbe29e6a1d7"
"lang",316,"src/main/java/org/apache/commons/lang3/time/FastDateParser.java","cc340ad2eb6a783f6abe8d02f2c32bb02b01505c","LANG-83","6ecb0a30c3f705ec33b6516194e32bbe29e6a1d7"
"lang",5792,"src/main/java/org/apache/commons/lang3/ArrayUtils.java","0bfa9cbfb86f2b47303327e41cd4143979e9cb6a","LANG-83","17910d3cc76cb2a7babe674b03fc81132d305732"
