"project","linenumber","path","revision","issuecode","fixrevision"
"surefire","338","surefire/src/main/java/org/apache/maven/surefire/Surefire.java","d0a8e171a01a3eec596f76eafb4bb988f516f730","SUREFIRE-2","9c931a6a5c96b161731491a6cd0de3cb74e99f0b"
"surefire","65","surefire/src/main/java/org/apache/maven/surefire/Surefire.java","280d5cae17479dd8bcb5edd52c30db6b5e207bf4","SUREFIRE-2","3716e3e1153060aa33430ee0b3b9c0efb13cac31"
"surefire","74","surefire/src/main/org/codehaus/surefire/report/ReportManager.java","e38be9c3d3617f0004e9979d458b9eef2ce21f2e","SUREFIRE-2","32e03c400b3b70778ffb412b3d37bc0f7e1b7003"
"surefire","67","surefire/src/main/java/org/apache/maven/surefire/Surefire.java","280d5cae17479dd8bcb5edd52c30db6b5e207bf4","SUREFIRE-2","3716e3e1153060aa33430ee0b3b9c0efb13cac31"
"surefire","17","surefire/src/main/java/org/apache/maven/surefire/SurefireUtils.java","3f4ba1452833226a50e28f7d933c2570f1f69cee","SUREFIRE-2","3716e3e1153060aa33430ee0b3b9c0efb13cac31"
"surefire","99","surefire/src/main/org/codehaus/surefire/Surefire.java","804696fae211b6f88ba0b66bbbbf0be2197029bd","SUREFIRE-2","28f708d59aacda81110f9ed46bba531a5ec884a5"
"surefire","58","surefire-api/src/main/java/org/apache/maven/surefire/Surefire.java","3716e3e1153060aa33430ee0b3b9c0efb13cac31","SUREFIRE-62","eac307e1ec626f05a1d7deedd2b8ff68726012cb"
"surefire","58","surefire-api/src/main/java/org/apache/maven/surefire/Surefire.java","3716e3e1153060aa33430ee0b3b9c0efb13cac31","SUREFIRE-621","eac307e1ec626f05a1d7deedd2b8ff68726012cb"
"surefire","183","surefire/src/main/org/codehaus/surefire/Surefire.java","08cc66e1a9050d61654304bc2c6d561832d82103","SUREFIRE-2","3f4ba1452833226a50e28f7d933c2570f1f69cee"
"surefire","277","surefire/src/main/java/org/codehaus/surefire/Surefire.java","e3c0e14e0d84d8182734f961e5e35182f1857b63","SUREFIRE-2","3f4ba1452833226a50e28f7d933c2570f1f69cee"
"surefire","187","surefire/src/main/org/codehaus/surefire/Surefire.java","08cc66e1a9050d61654304bc2c6d561832d82103","SUREFIRE-2","3f4ba1452833226a50e28f7d933c2570f1f69cee"
"surefire","572","surefire-booter/src/main/java/org/apache/maven/surefire/SurefireBooter.java","32736dc1fd735c3d411b331c9a117bb802a49270","SUREFIRE-26","13c2076ebe4272f4906e6cb1fce7de7b9daa2f23"
"surefire","572","surefire-booter/src/main/java/org/apache/maven/surefire/SurefireBooter.java","32736dc1fd735c3d411b331c9a117bb802a49270","SUREFIRE-2","13c2076ebe4272f4906e6cb1fce7de7b9daa2f23"
"surefire","100","surefire-booter/src/main/java/org/codehaus/surefire/SurefireBooter.java","9457105de6d417212da51cdbe57396e2c283093e","SUREFIRE-55","511fef2ca9f9de68dd142e6e411182afd77e640c"
"surefire","230","surefire-booter/src/main/java/org/apache/maven/surefire/booter/ForkedBooter.java","c343cc412b986fd9da839696c709542d03679d68","SUREFIRE-1302","58a4dad81b02dba8ccc0f3fe511e31bfaa914d43"
"surefire","75","surefire/src/main/org/codehaus/surefire/Surefire.java","faade9f12ade15cdb9bf1b0af1e6a03061b579f0","SUREFIRE-2","28f708d59aacda81110f9ed46bba531a5ec884a5"
"surefire","103","surefire/src/main/org/codehaus/surefire/Surefire.java","b42040b04e7a6e4814e2c5756b9e5af5ba51c5d3","SUREFIRE-2","28f708d59aacda81110f9ed46bba531a5ec884a5"
"surefire","81","surefire/src/main/org/codehaus/surefire/Surefire.java","b42040b04e7a6e4814e2c5756b9e5af5ba51c5d3","SUREFIRE-2","28f708d59aacda81110f9ed46bba531a5ec884a5"
"surefire","97","surefire/src/main/org/codehaus/surefire/Surefire.java","28f708d59aacda81110f9ed46bba531a5ec884a5","SUREFIRE-2","280d5cae17479dd8bcb5edd52c30db6b5e207bf4"
"surefire","191","surefire/surefire/src/main/org/codehaus/surefire/battery/JUnitBattery.java","1c5d283b9bdc3c6db4c24bf66bbafa125a436922","SUREFIRE-2","f6c301f73975254120b9b594a165c68241f40575"
"surefire","182","surefire/src/main/org/codehaus/surefire/report/ReportManager.java","e38be9c3d3617f0004e9979d458b9eef2ce21f2e","SUREFIRE-2","28f708d59aacda81110f9ed46bba531a5ec884a5"
"surefire","131","surefire/src/main/org/codehaus/surefire/battery/JUnitBattery.java","e38be9c3d3617f0004e9979d458b9eef2ce21f2e","SUREFIRE-2","28f708d59aacda81110f9ed46bba531a5ec884a5"
"surefire","133","surefire/src/main/org/codehaus/surefire/battery/JUnitBattery.java","e38be9c3d3617f0004e9979d458b9eef2ce21f2e","SUREFIRE-2","28f708d59aacda81110f9ed46bba531a5ec884a5"
"surefire","135","surefire/src/main/org/codehaus/surefire/battery/JUnitBattery.java","e38be9c3d3617f0004e9979d458b9eef2ce21f2e","SUREFIRE-2","28f708d59aacda81110f9ed46bba531a5ec884a5"
"surefire","195","surefire/surefire/src/main/org/codehaus/surefire/battery/JUnitBattery.java","1c5d283b9bdc3c6db4c24bf66bbafa125a436922","SUREFIRE-2","f6c301f73975254120b9b594a165c68241f40575"
