"project","linenumber","path","revision","issuecode","fixrevision"
"tinkerpop","48","gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/jsr223/MockGremlinScriptEngine.java","4818565467e6b847007dbb4032484a3efb6d091e","TINKERPOP-1792","30185646379b051b81484dd75ad34490fa7461b8"
"tinkerpop","49","spark-gremlin/src/test/java/org/apache/tinkerpop/gremlin/spark/process/computer/SparkHadoopGraphProvider.java","19beece8f774f4b71a0895dd40e29a32c68762fd","TINKERPOP-1025","10d9b16d3aec1c66c4e4974a48053b4e832154d2"
"tinkerpop","338","gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/AbstractGremlinSuite.java","ab5430b67060a20afd250488283f0a5e3a14d0c7","TINKERPOP-1052","529512f6eb23db456c6766bb13e5b2554fffddc1"
"tinkerpop","339","gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/AbstractGremlinSuite.java","ab5430b67060a20afd250488283f0a5e3a14d0c7","TINKERPOP-1052","529512f6eb23db456c6766bb13e5b2554fffddc1"
"tinkerpop","340","gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/AbstractGremlinSuite.java","ab5430b67060a20afd250488283f0a5e3a14d0c7","TINKERPOP-1052","529512f6eb23db456c6766bb13e5b2554fffddc1"
"tinkerpop","341","gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/AbstractGremlinSuite.java","ab5430b67060a20afd250488283f0a5e3a14d0c7","TINKERPOP-1052","529512f6eb23db456c6766bb13e5b2554fffddc1"
"tinkerpop","342","gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/AbstractGremlinSuite.java","ab5430b67060a20afd250488283f0a5e3a14d0c7","TINKERPOP-1052","529512f6eb23db456c6766bb13e5b2554fffddc1"
"tinkerpop","344","gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/AbstractGremlinSuite.java","ab5430b67060a20afd250488283f0a5e3a14d0c7","TINKERPOP-1052","529512f6eb23db456c6766bb13e5b2554fffddc1"
"tinkerpop","154","gremlin-test/src/main/java/com/tinkerpop/gremlin/AbstractGremlinSuite.java","cf342279171e2735f2ca39a4f6e88d5f321a1b08","TINKERPOP-1052","529512f6eb23db456c6766bb13e5b2554fffddc1"
"tinkerpop","741","gremlin-core/src/main/java/org/apache/tinkerpop/gremlin/process/traversal/dsl/graph/GraphTraversal.java","852627770478a6147b796c695ff5a407a915c5e1","TINKERPOP-1060","44ba97572305baa3de888ac14b9b0a81b5537be4"
"tinkerpop","57","gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/FeatureRequirementSet.java","cc6f10dbee050136729a407dd50b2c123729ebdb","TINKERPOP-997","74cd88cede4439a93ec764fce623d4a499052336"
"tinkerpop","66","gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/FeatureRequirementSet.java","cc6f10dbee050136729a407dd50b2c123729ebdb","TINKERPOP-997","74cd88cede4439a93ec764fce623d4a499052336"
"tinkerpop","57","gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/FeatureRequirementSet.java","cc6f10dbee050136729a407dd50b2c123729ebdb","TINKERPOP-997","74cd88cede4439a93ec764fce623d4a499052336"
"tinkerpop","66","gremlin-test/src/main/java/org/apache/tinkerpop/gremlin/FeatureRequirementSet.java","cc6f10dbee050136729a407dd50b2c123729ebdb","TINKERPOP-997","74cd88cede4439a93ec764fce623d4a499052336"
"tinkerpop","43","spark-gremlin/src/main/java/org/apache/tinkerpop/gremlin/spark/structure/io/InputFormatRDD.java","3fff8f546501d10a4c1d34762a626a2493e758be","TINKERPOP-1119","580c683a3d3d5e67b8321ae436cb4e806f682c0e"
"tinkerpop","51","spark-gremlin/src/main/java/org/apache/tinkerpop/gremlin/spark/structure/io/InputFormatRDD.java","f3ebed0bde6ac889640cb136b50b362c5cd2d2ea","TINKERPOP-1119","580c683a3d3d5e67b8321ae436cb4e806f682c0e"
