"project","linenumber","path","revision","issuecode","fixrevision"
"wss","210","src/org/apache/ws/security/WSSConfig.java","e29052be73ae5da6e732e6a19b4dbd8f3089ad9a","WSS-5","2136f35d22e3e12606abb8a6481b688b6fb81e8a"
"wss","210","src/org/apache/ws/security/WSSConfig.java","e29052be73ae5da6e732e6a19b4dbd8f3089ad9a","WSS-56","2136f35d22e3e12606abb8a6481b688b6fb81e8a"
"wss","210","src/org/apache/ws/security/WSSConfig.java","e29052be73ae5da6e732e6a19b4dbd8f3089ad9a","WSS-7","2136f35d22e3e12606abb8a6481b688b6fb81e8a"
"wss","459","src/org/apache/ws/security/WSSecurityEngine.java","9146a1175ef59a62cebc2bae268f6050e1cb1206","WSS-10","81df484a47b46493ad8a80ffd8ff684a54851248"
"wss","459","src/org/apache/ws/security/WSSecurityEngine.java","9146a1175ef59a62cebc2bae268f6050e1cb1206","WSS-109","81df484a47b46493ad8a80ffd8ff684a54851248"
"wss","64","src/org/apache/ws/security/WSDocInfo.java","e190527506968a3e468b8a6a0c303fd7d2cdd3a8","WSS-40","8e0c25f1bd21fe7d58e482fe93260e8be9814b78"
"wss","58","src/org/apache/ws/security/WSDocInfo.java","5582c69e93b151cb7de1d2cf4ddeb9c05f602f5a","WSS-40","8e0c25f1bd21fe7d58e482fe93260e8be9814b78"
"wss","47","src/org/apache/ws/security/util/XmlSchemaDateFormat.java","1450f752eaae616c5f3eaf3057a2d7ad968d7a7a","WSS-13","2f7648970f3d9d22654647e438543bc2c9959806"
"wss","847","src/org/apache/ws/security/handler/WSHandler.java","6df244047483f4a9239f0a8cc1866a7138f856f7","WSS-40","963eed06d5102a368b55c0ec91aebe688fa0a50d"
"wss","51","src/org/apache/ws/security/WSDocInfo.java","7025f35faeeba05e7333b5609b91398ccb17a344","WSS-196","4e604e61c75c6c4b5ce6dfa3610b2344d80b4f25"
"wss","70","src/org/apache/ws/security/WSDocInfo.java","5582c69e93b151cb7de1d2cf4ddeb9c05f602f5a","WSS-40","8e0c25f1bd21fe7d58e482fe93260e8be9814b78"
"wss","300","src/org/apache/ws/security/handler/WSHandler.java","e190527506968a3e468b8a6a0c303fd7d2cdd3a8","WSS-14","a30777758a2fe8a79b2d5777892635d8574654a5"
"wss","300","src/org/apache/ws/security/handler/WSHandler.java","e190527506968a3e468b8a6a0c303fd7d2cdd3a8","WSS-147","a30777758a2fe8a79b2d5777892635d8574654a5"
"wss","339","src/org/apache/ws/security/transform/STRTransform.java","9d57f8a5bfa28cfb0d66500a71ff39f3ea069434","WSS-222","cff84c42ca634b5be04098a0bf364709f4ef0272"
"wss","302","src/org/apache/ws/security/util/Base64.java","04baecbbe16a04e62da22018edb64db759a1dd32","WSS-24","4dcf568fbfcbd3072cb6da482245812f6f486133"
"wss","302","src/org/apache/ws/security/util/Base64.java","04baecbbe16a04e62da22018edb64db759a1dd32","WSS-243","4dcf568fbfcbd3072cb6da482245812f6f486133"
"wss","338","src/org/apache/ws/security/util/Base64.java","04baecbbe16a04e62da22018edb64db759a1dd32","WSS-24","4dcf568fbfcbd3072cb6da482245812f6f486133"
"wss","338","src/org/apache/ws/security/util/Base64.java","04baecbbe16a04e62da22018edb64db759a1dd32","WSS-243","4dcf568fbfcbd3072cb6da482245812f6f486133"
"wss","750","src/org/apache/ws/security/handler/WSHandler.java","351a2c011e12eac487fd3eaab6467fc91a790191","WSS-24","9cf03955164d58401e2e6351eaf458a90ce3e52a"
"wss","82","src/org/apache/ws/security/saml/SAMLUtil.java","98c730572343d2cbd351ef1a24460a2ef51e4d77","WSS-14","92a66c8bd2e96adac74924080cb02663140736eb"
